Instance ID,Final Coin,initial_amount,DIRT_Newcost,DIRT_Normal_upgrade_cost,DIRT_Normal_speed_bonus,DIRT_Plus_upgrade_cost,DIRT_Plus_speed_bonus,DIRT_Extra_upgrade_cost,DIRT_Extra_speed_bonus,DIRT_Ultra_upgrade_cost,DIRT_Ultra_speed_bonus
1,30,100,50,20,0,50,0.05,125,0.1,0,0.2
2,40,100,50,20,0,50,0.05,125,0.1,0,0.2
3,120,100,50,20,0,50,0.05,125,0.1,0,0.2
4,100,100,50,20,0,50,0.05,125,0.1,0,0.2
5,70,100,50,20,0,50,0.05,125,0.1,0,0.2
6,70,100,50,20,0,50,0.05,125,0.1,0,0.2
7,25,100,50,20,0,50,0.05,125,0.1,0,0.2
8,130,100,50,20,0,50,0.05,125,0.1,0,0.2
9,70,100,50,20,0,50,0.05,125,0.1,0,0.2
10,80,100,50,20,0,50,0.05,125,0.1,0,0.2
11,40,100,50,20,0,50,0.05,125,0.1,0,0.2
12,10,100,50,20,0,50,0.05,125,0.1,0,0.2
13,50,100,50,20,0,50,0.05,125,0.1,0,0.2
14,40,100,50,20,0,50,0.05,125,0.1,0,0.2
15,150,100,50,20,0,50,0.05,125,0.1,0,0.2
16,10,100,50,20,0,50,0.05,125,0.1,0,0.2
17,90,100,50,20,0,50,0.05,125,0.1,0,0.2
18,120,100,50,20,0,50,0.05,125,0.1,0,0.2
19,70,100,50,20,0,50,0.05,125,0.1,0,0.2
20,15,100,50,20,0,50,0.05,125,0.1,0,0.2
21,40,100,50,20,0,50,0.05,125,0.1,0,0.2
22,150,100,50,20,0,50,0.05,125,0.1,0,0.2
23,70,100,50,20,0,50,0.05,125,0.1,0,0.2
24,60,100,50,20,0,50,0.05,125,0.1,0,0.2
25,70,100,50,20,0,50,0.05,125,0.1,0,0.2
26,90,100,50,20,0,50,0.05,125,0.1,0,0.2
27,120,100,50,20,0,50,0.05,125,0.1,0,0.2
28,50,100,50,20,0,50,0.05,125,0.1,0,0.2
29,60,100,50,20,0,50,0.05,125,0.1,0,0.2
30,130,100,50,20,0,50,0.05,125,0.1,0,0.2
