Instance ID,Final Coin,initial_amount,DIRT_Newcost,DIRT_Normal_upgrade_cost,DIRT_Normal_speed_bonus,DIRT_Plus_upgrade_cost,DIRT_Plus_speed_bonus,DIRT_Extra_upgrade_cost,DIRT_Extra_speed_bonus,DIRT_Ultra_upgrade_cost,DIRT_Ultra_speed_bonus
1,150,250,50,20,0,60,0.05,125,0.1,0,0.2
2,100,250,50,20,0,60,0.05,125,0.1,0,0.2
3,210,250,50,20,0,60,0.05,125,0.1,0,0.2
4,220,250,50,20,0,60,0.05,125,0.1,0,0.2
5,140,250,50,20,0,60,0.05,125,0.1,0,0.2
6,270,250,50,20,0,60,0.05,125,0.1,0,0.2
7,280,250,50,20,0,60,0.05,125,0.1,0,0.2
8,220,250,50,20,0,60,0.05,125,0.1,0,0.2
9,115,250,50,20,0,60,0.05,125,0.1,0,0.2
10,100,250,50,20,0,60,0.05,125,0.1,0,0.2
11,250,250,50,20,0,60,0.05,125,0.1,0,0.2
12,250,250,50,20,0,60,0.05,125,0.1,0,0.2
13,160,250,50,20,0,60,0.05,125,0.1,0,0.2
14,190,250,50,20,0,60,0.05,125,0.1,0,0.2
15,180,250,50,20,0,60,0.05,125,0.1,0,0.2
16,220,250,50,20,0,60,0.05,125,0.1,0,0.2
17,135,250,50,20,0,60,0.05,125,0.1,0,0.2
18,100,250,50,20,0,60,0.05,125,0.1,0,0.2
19,210,250,50,20,0,60,0.05,125,0.1,0,0.2
20,180,250,50,20,0,60,0.05,125,0.1,0,0.2
21,150,250,50,20,0,60,0.05,125,0.1,0,0.2
22,130,250,50,20,0,60,0.05,125,0.1,0,0.2
23,190,250,50,20,0,60,0.05,125,0.1,0,0.2
24,115,250,50,20,0,60,0.05,125,0.1,0,0.2
25,45,250,50,20,0,60,0.05,125,0.1,0,0.2
26,100,250,50,20,0,60,0.05,125,0.1,0,0.2
27,180,250,50,20,0,60,0.05,125,0.1,0,0.2
28,135,250,50,20,0,60,0.05,125,0.1,0,0.2
29,160,250,50,20,0,60,0.05,125,0.1,0,0.2
30,165,250,50,20,0,60,0.05,125,0.1,0,0.2
