Instance ID,Final Coin,initial_amount,DIRT_Newcost,DIRT_Normal_upgrade_cost,DIRT_Normal_speed_bonus,DIRT_Plus_upgrade_cost,DIRT_Plus_speed_bonus,DIRT_Extra_upgrade_cost,DIRT_Extra_speed_bonus,DIRT_Ultra_upgrade_cost,DIRT_Ultra_speed_bonus
1,15,100,50,25,0,60,0.05,125,0.1,0,0.2
2,40,100,50,25,0,60,0.05,125,0.1,0,0.2
3,65,100,50,25,0,60,0.05,125,0.1,0,0.2
4,50,100,50,25,0,60,0.05,125,0.1,0,0.2
5,40,100,50,25,0,60,0.05,125,0.1,0,0.2
6,100,100,50,25,0,60,0.05,125,0.1,0,0.2
7,40,100,50,25,0,60,0.05,125,0.1,0,0.2
8,130,100,50,25,0,60,0.05,125,0.1,0,0.2
9,40,100,50,25,0,60,0.05,125,0.1,0,0.2
10,65,100,50,25,0,60,0.05,125,0.1,0,0.2
11,30,100,50,25,0,60,0.05,125,0.1,0,0.2
12,55,100,50,25,0,60,0.05,125,0.1,0,0.2
13,90,100,50,25,0,60,0.05,125,0.1,0,0.2
14,50,100,50,25,0,60,0.05,125,0.1,0,0.2
15,65,100,50,25,0,60,0.05,125,0.1,0,0.2
16,65,100,50,25,0,60,0.05,125,0.1,0,0.2
17,90,100,50,25,0,60,0.05,125,0.1,0,0.2
18,65,100,50,25,0,60,0.05,125,0.1,0,0.2
19,40,100,50,25,0,60,0.05,125,0.1,0,0.2
20,80,100,50,25,0,60,0.05,125,0.1,0,0.2
21,30,100,50,25,0,60,0.05,125,0.1,0,0.2
22,50,100,50,25,0,60,0.05,125,0.1,0,0.2
23,75,100,50,25,0,60,0.05,125,0.1,0,0.2
24,95,100,50,25,0,60,0.05,125,0.1,0,0.2
25,105,100,50,25,0,60,0.05,125,0.1,0,0.2
26,130,100,50,25,0,60,0.05,125,0.1,0,0.2
27,15,100,50,25,0,60,0.05,125,0.1,0,0.2
28,55,100,50,25,0,60,0.05,125,0.1,0,0.2
29,50,100,50,25,0,60,0.05,125,0.1,0,0.2
30,55,100,50,25,0,60,0.05,125,0.1,0,0.2
