Instance ID,Final Coin,initial_amount,DIRT_Newcost,DIRT_Normal_upgrade_cost,DIRT_Normal_speed_bonus,DIRT_Plus_upgrade_cost,DIRT_Plus_speed_bonus,DIRT_Extra_upgrade_cost,DIRT_Extra_speed_bonus,DIRT_Ultra_upgrade_cost,DIRT_Ultra_speed_bonus
1,110,100,50,10,0,60,0.05,125,0.1,0,0.2
2,20,100,50,10,0,60,0.05,125,0.1,0,0.2
3,70,100,50,10,0,60,0.05,125,0.1,0,0.2
4,90,100,50,10,0,60,0.05,125,0.1,0,0.2
5,160,100,50,10,0,60,0.05,125,0.1,0,0.2
6,90,100,50,10,0,60,0.05,125,0.1,0,0.2
7,15,100,50,10,0,60,0.05,125,0.1,0,0.2
8,90,100,50,10,0,60,0.05,125,0.1,0,0.2
9,140,100,50,10,0,60,0.05,125,0.1,0,0.2
10,150,100,50,10,0,60,0.05,125,0.1,0,0.2
11,160,100,50,10,0,60,0.05,125,0.1,0,0.2
12,150,100,50,10,0,60,0.05,125,0.1,0,0.2
13,190,100,50,10,0,60,0.05,125,0.1,0,0.2
14,20,100,50,10,0,60,0.05,125,0.1,0,0.2
15,50,100,50,10,0,60,0.05,125,0.1,0,0.2
16,50,100,50,10,0,60,0.05,125,0.1,0,0.2
17,20,100,50,10,0,60,0.05,125,0.1,0,0.2
18,80,100,50,10,0,60,0.05,125,0.1,0,0.2
19,180,100,50,10,0,60,0.05,125,0.1,0,0.2
20,140,100,50,10,0,60,0.05,125,0.1,0,0.2
21,130,100,50,10,0,60,0.05,125,0.1,0,0.2
22,100,100,50,10,0,60,0.05,125,0.1,0,0.2
23,30,100,50,10,0,60,0.05,125,0.1,0,0.2
24,80,100,50,10,0,60,0.05,125,0.1,0,0.2
25,50,100,50,10,0,60,0.05,125,0.1,0,0.2
26,60,100,50,10,0,60,0.05,125,0.1,0,0.2
27,100,100,50,10,0,60,0.05,125,0.1,0,0.2
28,85,100,50,10,0,60,0.05,125,0.1,0,0.2
29,45,100,50,10,0,60,0.05,125,0.1,0,0.2
30,120,100,50,10,0,60,0.05,125,0.1,0,0.2
